restaurant_id,restaurant_name,restaurant_address,restaurant_category_id,restaurant_image
1,두레반돼지국밥,서울특별시 강남구 논현동 111-23 111-23,1,static/img/두레반돼지국밥.jpg
2,봉추찜닭-역삼점,서울특별시 강남구 역삼동 642-1 역삼현대벤쳐텔 642-1,1,static/img/봉추찜닭-역삼점.jpg
3,88곱창-강남직영점,서울특별시 강남구 역삼동 835-6 아라니아 빌딩 지하1층 송현빌딩,1,static/img/88곱창-강남직영점.jpg
4,고기듬뿍대왕비빔밥-논현점,서울특별시 강남구 논현동 226 지하1동3호,1,static/img/고기듬뿍대왕비빔밥-논현점.jpg
5,키즈앤맘 본점,서울 강남구 논현동 273-16번지 1층,1,static/img/키즈앤맘.jpg
6,경성밥상-강남점,서울특별시 강남구 역삼동 835-6 아라니아 빌딩 1층,1,static/img/경성밥상-강남본점.jpg
7,싸다김밥-강남대로점,서울특별시 서초구 서초동 1362 서초동두산위브 1층 108호,1,static/img/싸다김밥-강남대로점.jpg
8,장모님이떴다-본점,서울특별시 강남구 역삼동 607-4 607-4 지하1층,1,static/img/장모님이떴다-본점.jpg
9,한방대가삼계탕 강남본점,서울특별시 강남구 역삼동 830-38 830-38 2층,1,static/img/한방대가삼계탕.jpg
10,한식밥상-강남논현점,서울특별시 강남구 논현동 145-8 145-8 지하1층 02호,1,static/img/한식밥상-강남논현점.jpg
11,신선설농탕-도곡점,서울특별시 서초구 양재동 3-3 1층,1,static/img/신선설농탕-도곡점.jpg
12,제육대가-역삼점,서울특별시 강남구 역삼동 779-9 779-9 1층107호,1,static/img/제육대가-역삼점.jpg
13,배달삼겹맛있으면돼지,서울특별시 강남구 논현동 233-25 유정빌딩 지하1층,1,static/img/배달삼겹맛있으면돼지.jpg
14,삼백집-역삼역점,서울특별시 강남구 역삼동 664-35 리엘타워 1층,1,static/img/삼백집-역삼역점.jpg
15,역삼가야밀면,서울특별시 강남구 역삼동 742-22 도원빌딩 지하1층 8호,1,static/img/역삼가야밀면.jpg
16,죽이요-본점,서울특별시 강남구 역삼동 601-7 601-7 2층 203호,1,static/img/죽이요-본점.jpg
17,한솥도시락-역삼세무서점,서울특별시 강남구 역삼동 751-14 751-14 1층,1,static/img/한솥도시락-역삼세무서점.jpg
18,닭갈비전,서울특별시 서초구 서초동 1309-1 서초동 오피스텔 1309-1,1,static/img/닭갈비전.jpg
19,미로정부대찌개,서울특별시 강남구 역삼동 671-27 671-27,1,static/img/미로정부대찌개.jpg
20,오다리집간장게장,서울특별시 강남구 역삼동 668-20 지상2층,1,static/img/오다리집간장게장.jpg
21,팔당충무김밥국수,서울특별시 강남구 논현동 113-25 113-25 1층,1,static/img/팔당충무김밥국수.jpg
22,순리대로-강남도곡본점,서울특별시 강남구 도곡동 518-4 518-4 1층,1,static/img/순리대로-강남도곡본점.jpg
23,한솥도시락-르네상스호텔사거리점,서울특별시 강남구 역삼동 720-25 디오빌역삼 1층 111호,1,static/img/한솥도시락-르네상스호텔사거리점.jpg
24,한결설렁탕,서울특별시 서초구 잠원동 39-10 39-10,1,static/img/한결설렁탕.jpg
25,신촌설렁탕함흥냉면 갈비탕,서울특별시 서초구 서초동 1571-12 KAIS 별관 1571-12 KAIS 별관 1층,1,static/img/신촌설렁탕함흥냉면 갈비탕.jpg
26,쌍다리돼지불백-역삼직영점,서울특별시 강남구 역삼동 637-24 637-24,1,static/img/쌍다리돼지불백-역삼직영점.jpg
27,국민낙곱새-강남점,서울특별시 강남구 역삼동 772 동영문화센터 772 동영문화센터 지하1층,1,static/img/국민낙곱새-강남점.jpg
28,신선설농탕-서초점,서울특별시 서초구 서초동 1443-8 1443-8 1층,1,static/img/신선설농탕-서초점.jpg
29,신화불닭-강남점,서울특별시 강남구 논현동 218-15 두꺼비집 218-15 두꺼비집 1층 101호,1,static/img/신화불닭-강남점.jpg
30,기와집순두부-서초점,서울특별시 서초구 서초동 1699-13 하림빌딩 2 1699-13 하림빌딩 2 지하1층,1,static/img/기와집순두부-서초점.jpg
31,배달육회육회한가득-신사논현점,서울특별시 강남구 논현동 22 논현아파트 22 논현아파트 201동 지하1층 7호,1,static/img/배달육회육회한가득-신사논현점.jpg
32,양자강(역삼동),서울 강남구 역삼동 719-9,2,static/img/양자강(역삼동).jpg
33,리밍,서울 강남구 역삼동 673-36번지,2,static/img/리밍.jpg
34,중경마라탕-강남2호점,서울특별시 강남구 역삼동 827-23 827-23 지상 2층,2,static/img/중경마라탕-강남2호점.jpg
35,마르르-강남역점,서울특별시 강남구 역삼동 820-2 지하1층,2,static/img/마르르-강남역점.jpg
36,취향마라-역삼점,서울특별시 강남구 역삼동 668-19 668-19 1층,2,static/img/취향마라-역삼점.jpg
37,현경(본점),서울 강남구 논현동 240-9,2,static/img/현경(본점).jpg
38,홍콩반점0410-교대역점,서울특별시 서초구 서초동 1659-17 추호주택 1659-17 1층,2,static/img/홍콩반점0410-교대역점.jpg
