name,address,image,category
두레반돼지국밥,서울특별시 강남구 논현동 111-23 111-23,static/img/두레반돼지국밥.jpg,1
쌈밥잘하는집,서울특별시 강남구 논현동 232-23 지하 1층,static/img/쌈밥잘하는집.jpg,1
봉추찜닭-역삼점,서울특별시 강남구 역삼동 642-1 역삼현대벤쳐텔 642-1,static/img/봉추찜닭-역삼점.jpg,1
88곱창-강남직영점,서울특별시 강남구 역삼동 835-6 아라니아 빌딩 지하1층 송현빌딩,static/img/88곱창-강남직영점.jpg,1
고기듬뿍대왕비빔밥-논현점,서울특별시 강남구 논현동 226 지하1동3호,static/img/고기듬뿍대왕비빔밥-논현점.jpg,1
키즈앤맘,서울 강남구 논현동 273-16번지 1층,static/img/키즈앤맘.jpg,1
경성밥상-강남본점,서울특별시 강남구 역삼동 835-6 아라니아 빌딩 1층,static/img/경성밥상-강남본점.jpg,1
꽃돼지한식,서울 강남구 논현동 277-2번지 지하1층,static/img/꽃돼지1.jpg,1
싸다김밥-강남대로점,서울특별시 서초구 서초동 1362 서초동두산위브 1층 108호,static/img/싸다김밥-강남대로점.jpg,1
장모님이떴다-본점,서울특별시 강남구 역삼동 607-4 607-4 지하1층,static/img/장모님이떴다-본점.jpg,1
오늘한끼,서울특별시 서초구 서초동 1302-1 서초오피스텔 1302-1 서초오피스텔 지하1층 7호,static/img/오늘한끼.jpg,1
한방대가삼계탕,서울특별시 강남구 역삼동 830-38 830-38 2층,static/img/한방대가삼계탕.jpg,1
김태준의탕탕집,서울특별시 강남구 논현동 141-15 141-15,static/img/김태준의탕탕집.jpg,1
한식밥상-강남논현점,서울특별시 강남구 논현동 145-8 145-8 지하1층 02호,static/img/1밥상-강남논현점.jpg,1
신선설농탕-도곡점,서울특별시 서초구 양재동 3-3 1층,static/img/신선설농탕-도곡점.jpg,1
하영호신촌설렁탕-역삼로점,서울특별시 강남구 역삼동 733-8 남국빌딩 733-8 남국빌딩 지상1층,static/img/하영호신촌설렁탕-역삼로점.jpg,1
제육대가-역삼점,서울특별시 강남구 역삼동 779-9 779-9 1층107호,static/img/제육대가-역삼점.jpg,1
배달삼겹맛있으면돼지,서울특별시 강남구 논현동 233-25 유정빌딩 지하1층,static/img/배달삼겹맛있으면돼지.jpg,1
삼백집-역삼역점,서울특별시 강남구 역삼동 664-35 리엘타워 1층,static/img/삼백집-역삼역점.jpg,1
역삼가야밀면,서울특별시 강남구 역삼동 742-22 도원빌딩 지하1층 8호,static/img/역삼가야밀면.jpg,1
죽이요-본점,서울특별시 강남구 역삼동 601-7 601-7 2층 203호,static/img/죽이요-본점.jpg,1
한솥도시락-역삼세무서점,서울특별시 강남구 역삼동 751-14 751-14 1층,static/img/한솥도시락-역삼세무서점.jpg,1
호석이네강&쌈-논현점,서울특별시 강남구 논현동 242-16 지하1층 3호,static/img/호석이네강&쌈-논현점.jpg,1
마찌마약김치찌개&고기반찬-강남본점,서울특별시 강남구 역삼동 663-31 102호,static/img/마찌마약김치찌개&고기반찬-강남본점.jpg,1
홍익궁중전통육개장-역삼점,서울특별시 강남구 역삼동 837-11 유니온센터오피스텔 유니온오피스텔 지하 1층 58호,static/img/홍익궁중전통육개장-역삼점.jpg,1
닭갈비전,서울특별시 서초구 서초동 1309-1 서초동 오피스텔 1309-1,static/img/닭갈비전.jpg,1
미로정부대찌개,서울특별시 강남구 역삼동 671-27 671-27,static/img/미로정부대찌개.jpg,1
오다리집간장게장,서울특별시 강남구 역삼동 668-20 지상2층,static/img/오다리집간장게장.jpg,1
팔당충무김밥국수,서울특별시 강남구 논현동 113-25 113-25 1층,static/img/팔당충무김밥국수.jpg,1
순리대로-강남도곡본점,서울특별시 강남구 도곡동 518-4 518-4 1층,static/img/순리대로-강남도곡본점.jpg,1
분식을품다-강남점,서울특별시 강남구 역삼동 829-13 지상1층103호,static/img/분식을품다-강남점.jpg,1
한솥도시락-르네상스호텔사거리점,서울특별시 강남구 역삼동 720-25 디오빌역삼 1층 111호,static/img/한솥도시락-르네상스호텔사거리점.jpg,1
한결설렁탕,서울특별시 서초구 잠원동 39-10 39-10,static/img/한결설렁탕.jpg,1
강남매운닭도리찜닭,서울특별시 강남구 논현동 232-23 지하 1층,static/img/강남매운닭도리찜닭.jpg,1
신촌설렁탕함흥냉면 갈비탕,서울특별시 서초구 서초동 1571-12 KAIS 별관 1571-12 KAIS 별관 1층,static/img/신촌설렁탕함흥냉면 갈비탕.jpg,1
옥수동묵은지김치찜-강남점,서울특별시 강남구 논현동 214-23 214-23 지상1층,static/img/옥수동묵은지김치찜-강남점.jpg,1
평안도순대국감자탕-본점,서울특별시 강남구 역삼동 810-1 화성빌딩 810-1 화성빌딩 1층,static/img/평안도순대국감자탕-본점.jpg,1
쌍다리돼지불백-역삼직영점,서울특별시 강남구 역삼동 637-24 637-24,static/img/쌍다리돼지불백-역삼직영점.jpg,1
국민낙곱새-강남점,서울특별시 강남구 역삼동 772 동영문화센터 772 동영문화센터 지하1층,static/img/국민낙곱새-강남점.jpg,1
신선설농탕-서초점,서울특별시 서초구 서초동 1443-8 1443-8 1층,static/img/신선설농탕-서초점.jpg,1
THE더가득담은1인김치찜-강남점,서울특별시 강남구 논현동 214-23 지상1층,static/img/THE더가득담은1인김치찜-강남점.jpg,1
닭바를레옹-대치점,서울특별시 강남구 역삼동 708-25 지하1층 B1호,static/img/닭바를레옹-대치점.jpg,1
나주곰탕나주전-논현점,서울특별시 강남구 논현동 127-2 율암빌딩 110호,static/img/나주곰탕나주전-논현점.jpg,1
따띠삼겹-역삼점,서울특별시 강남구 역삼동 738-15 지하1층 b101호 11호,static/img/따띠삼겹-역삼점.jpg,1
얌얌-도곡점,서울특별시 강남구 도곡동 919-7 919-7,static/img/얌얌-도곡점.jpg,1
신화불닭-강남점,서울특별시 강남구 논현동 218-15 두꺼비집 218-15 두꺼비집 1층 101호,static/img/신화불닭-강남점.jpg,1
기와집순두부-서초점,서울특별시 서초구 서초동 1699-13 하림빌딩 2 1699-13 하림빌딩 2 지하1층,static/img/기와집순두부-서초점.jpg,1
배달육회육회한가득-신사논현점,서울특별시 강남구 논현동 22 논현아파트 22 논현아파트 201동 지하1층 7호,static/img/배달육회육회한가득-신사논현점.jpg,1
밥통령짜글이전문점-역삼점,서울특별시 강남구 역삼동 745-16 지하1층 101호,static/img/밥통령짜글이전문점-역삼점.jpg,1
백종원의미정국수&덮밥-교대역점,서울특별시 서초구 서초동 1670-3 1670-3,static/img/백종원의미정국수&덮밥-교대역점.jpg,1
양자강(역삼동),서울 강남구 역삼동 719-9,static/img/양자강(역삼동).jpg,2
리밍,서울 강남구 역삼동 673-36번지,static/img/리밍.jpg,2
중경마라탕-강남2호점,서울특별시 강남구 역삼동 827-23 827-23 지상 2층,static/img/중경마라탕-강남2호점.jpg,2
마르르-강남역점,서울특별시 강남구 역삼동 820-2 지하1층,static/img/마르르-강남역점.jpg,2
홍짬뽕-역삼점,서울특별시 강남구 역삼동 828-52 828-52 1층 1호,static/img/홍짬뽕-역삼점.jpg,2
도화,서울특별시 서초구 서초동 1364-28 1364-28 1층,static/img/도화.jpg,2
취홍-강남점,서울 서초구 반포동 738-47 2층,static/img/취홍-강남점.jpg,2
취향마라-역삼점,서울특별시 강남구 역삼동 668-19 668-19 1층,static/img/취향마라-역삼점.jpg,2
제레미20-고속터미널점,서울특별시 서초구 반포동 19-4 강남고속버스터미널 본관1층 104호,static/img/제레미20-고속터미널점.jpg,2
현경(본점),서울 강남구 논현동 240-9,static/img/현경(본점).jpg,2
홍콩반점0410-교대역점,서울특별시 서초구 서초동 1659-17 추호주택 1659-17 1층,static/img/홍콩반점0410-교대역점.jpg,2
마라의신마라탕&마라샹궈-대치점,서울특별시 강남구 대치동 909-8 101호,static/img/마라의신마라탕&마라샹궈-대치점.jpg,2
취빈-역삼점,서울 강남구 역삼동 773-8 지상2층201호,static/img/취빈-역삼점.jpg,2
마라하오-서초점,서울특별시 서초구 서초동 1698-3 청석빌딩 1698-3 청석빌딩 지하1층,static/img/마라하오-서초점.jpg,2
취홍-대치점,서울특별시 강남구 대치동 891-42 현빌딩 891-42 현빌딩 2층,static/img/취홍-대치점.jpg,2
라사천마라탕-강남점,서울특별시 강남구 역삼동 719-24 역삼역센트럴푸르지오 지하1층 B104호-CA02호,static/img/라사천마라탕-강남점.jpg,2
뽕사부-교대점,서울특별시 서초구 서초동 1572-1 서보빌딩 1597-6,static/img/뽕사부-교대점.jpg,2
라이라이-역삼점,"서울특별시 강남구 역삼동 837-17 삼성애니텔 1층 101호, 102호, 103호",static/img/라이라이-역삼점.jpg,2
창라이-서초반포점,서울 서초구 서초동 1685-3 아크로비스타 상가 지하3층 에이-310호,static/img/창라이-서초반포점.jpg,2
리칭24시-삼성점,서울특별시 강남구 삼성동 156-5 2층,static/img/리칭24시-삼성점.jpg,2
짬뽕지존-강남구청점,서울특별시 강남구 논현동 241-14 보광빌딩 1층,static/img/짬뽕지존-강남구청점.jpg,2
공리-서초점,서울 서초구 서초동 1462-1 동양빌딩 1층,static/img/공리-서초점.jpg,2
만다린,서울 강남구 역삼동 775-2 1층 102호,static/img/만다린.jpg,2
보배반점-강남직영점,서울특별시 강남구 역삼동 818-10 역삼동빌딩 지상1층,static/img/보배반점-강남직영점.jpg,2
짜짜루-강남점,서울특별시 강남구 역삼동 837-11 유니온센터오피스텔 837-11 유니온센터오피스텔 지하1층 35호,static/img/짜짜루-강남점.jpg,2
마라탕전문점소림마라-신논현점,서울특별시 강남구 역삼동 810-5 반석빌딩 지상1층,static/img/마라탕전문점소림마라-신논현점.jpg,2
마라테이블딜리버리,"서울특별시 강남구 삼성동 8-2 브라운스톤 레전드 지하1층 B110,111호",static/img/마라테이블딜리버리.jpg,2
하우마라탕-강남점,서울특별시 강남구 역삼동 818-7 818-7 2층,static/img/하우마라탕-강남점.jpg,2
소림마라(타운)-서초점,서울특별시 서초구 서초동 1555-10 B01호,static/img/소림마라(타운)-서초점.jpg,2
만석짬뽕전문점,서울 강남구 논현동 122-10 지상 1층,static/img/만석짬뽕전문점.jpg,2
몽지람,서울특별시 강남구 대치동 901-66 지하1층,static/img/몽지람.jpg,2
연화산-서초점,서울특별시 서초구 서초동 1343-16 1343-16 1층,static/img/연화산-서초점.jpg,2
일공2,"서울특별시 강남구 삼성동 101-9 101-9 지상2,3층",static/img/일공2.jpg,2
일품향-대치점,서울 강남구 대치동 922-23 라이온스빌딩 지상2층,static/img/일품향-대치점.jpg,2
희래등-교대본점,서울특별시 서초구 서초동 1638-1 1층,static/img/희래등-교대본점.jpg,2
