name,address,image,category
양자강(역삼동),서울 강남구 역삼동 719-9,static/양자강(역삼동).jpg,중식
리밍,서울 강남구 역삼동 673-36번지,static/리밍.jpg,중식
중경마라탕-강남2호점,서울특별시 강남구 역삼동 827-23 827-23 지상 2층,static/중경마라탕-강남2호점.jpg,중식
마르르-강남역점,서울특별시 강남구 역삼동 820-2 지하1층,static/마르르-강남역점.jpg,중식
홍짬뽕-역삼점,서울특별시 강남구 역삼동 828-52 828-52 1층 1호,static/홍짬뽕-역삼점.jpg,중식
도화,서울특별시 서초구 서초동 1364-28 1364-28 1층,static/도화.jpg,중식
취홍-강남점,서울 서초구 반포동 738-47 2층,static/취홍-강남점.jpg,중식
취향마라-역삼점,서울특별시 강남구 역삼동 668-19 668-19 1층,static/취향마라-역삼점.jpg,중식
제레미20-고속터미널점,서울특별시 서초구 반포동 19-4 강남고속버스터미널 본관1층 104호,static/제레미20-고속터미널점.jpg,중식
현경(본점),서울 강남구 논현동 240-9,static/현경(본점).jpg,중식
홍콩반점0410-교대역점,서울특별시 서초구 서초동 1659-17 추호주택 1659-17 1층,static/홍콩반점0410-교대역점.jpg,중식
마라의신마라탕&마라샹궈-대치점,서울특별시 강남구 대치동 909-8 101호,static/마라의신마라탕&마라샹궈-대치점.jpg,중식
취빈-역삼점,서울 강남구 역삼동 773-8 지상2층201호,static/취빈-역삼점.jpg,중식
마라하오-서초점,서울특별시 서초구 서초동 1698-3 청석빌딩 1698-3 청석빌딩 지하1층,static/마라하오-서초점.jpg,중식
취홍-대치점,서울특별시 강남구 대치동 891-42 현빌딩 891-42 현빌딩 2층,static/취홍-대치점.jpg,중식
라사천마라탕-강남점,서울특별시 강남구 역삼동 719-24 역삼역센트럴푸르지오 지하1층 B104호-CA02호,static/라사천마라탕-강남점.jpg,중식
뽕사부-교대점,서울특별시 서초구 서초동 1572-1 서보빌딩 1597-6,static/뽕사부-교대점.jpg,중식
라이라이-역삼점,"서울특별시 강남구 역삼동 837-17 삼성애니텔 1층 101호, 102호, 103호",static/라이라이-역삼점.jpg,중식
창라이-서초반포점,서울 서초구 서초동 1685-3 아크로비스타 상가 지하3층 에이-310호,static/창라이-서초반포점.jpg,중식
리칭24시-삼성점,서울특별시 강남구 삼성동 156-5 2층,static/리칭24시-삼성점.jpg,중식
짬뽕지존-강남구청점,서울특별시 강남구 논현동 241-14 보광빌딩 1층,static/짬뽕지존-강남구청점.jpg,중식
공리-서초점,서울 서초구 서초동 1462-1 동양빌딩 1층,static/공리-서초점.jpg,중식
만다린,서울 강남구 역삼동 775-2 1층 102호,static/만다린.jpg,중식
보배반점-강남직영점,서울특별시 강남구 역삼동 818-10 역삼동빌딩 지상1층,static/보배반점-강남직영점.jpg,중식
짜짜루-강남점,서울특별시 강남구 역삼동 837-11 유니온센터오피스텔 837-11 유니온센터오피스텔 지하1층 35호,static/짜짜루-강남점.jpg,중식
마라탕전문점소림마라-신논현점,서울특별시 강남구 역삼동 810-5 반석빌딩 지상1층,static/마라탕전문점소림마라-신논현점.jpg,중식
마라테이블딜리버리,"서울특별시 강남구 삼성동 8-2 브라운스톤 레전드 지하1층 B110,111호",static/마라테이블딜리버리.jpg,중식
하우마라탕-강남점,서울특별시 강남구 역삼동 818-7 818-7 2층,static/하우마라탕-강남점.jpg,중식
소림마라(타운)-서초점,서울특별시 서초구 서초동 1555-10 B01호,static/소림마라(타운)-서초점.jpg,중식
만석짬뽕전문점,서울 강남구 논현동 122-10 지상 1층,static/만석짬뽕전문점.jpg,중식
몽지람,서울특별시 강남구 대치동 901-66 지하1층,static/몽지람.jpg,중식
연화산-서초점,서울특별시 서초구 서초동 1343-16 1343-16 1층,static/연화산-서초점.jpg,중식
일공중식,"서울특별시 강남구 삼성동 101-9 101-9 지상2,3층",static/일공중식.jpg,중식
일품향-대치점,서울 강남구 대치동 922-23 라이온스빌딩 지상2층,static/일품향-대치점.jpg,중식
희래등-교대본점,서울특별시 서초구 서초동 1638-1 1층,static/희래등-교대본점.jpg,중식
동천홍-학동점,서울특별시 강남구 논현동 85-1 85-1 2충,static/동천홍-학동점.jpg,중식
중경마라탕-1호점,서울특별시 강남구 역삼동 619-17 619-17,static/중경마라탕-1호점.jpg,중식
홍콩반점0410-서초교보점,서울특별시 서초구 서초동 1302-23 1302-23,static/홍콩반점0410-서초교보점.jpg,중식
칸지고고-서초점,서울특별시 서초구 서초동 1695-3 정원빌딩 1695-3 정원빌딩 1층,static/칸지고고-서초점.jpg,중식
칠리향마라탕-선릉점,서울특별시 강남구 대치동 896-16 896-16 2층,static/칠리향마라탕-선릉점.jpg,중식
한정남의샤오차이,서울 강남구 역삼동 656-33 지상1층,static/한정남의샤오차이.jpg,중식
차이향,서울특별시 강남구 역삼동 678-2 지상2층,static/차이향.jpg,중식
강남일품요리왕,서울 서초구 서초동 1302-1 서초오피스텔 지하1층5호,static/강남일품요리왕.jpg,중식
뽕사부-도곡점,"서울특별시 강남구 도곡동 424-5 424-5 지상1층, 2층",static/뽕사부-도곡점.jpg,중식
홍콩반점0410-강남역점,서울특별시 강남구 역삼동 827-4 827-4 지상2층,static/홍콩반점0410-강남역점.jpg,중식
홍콩반점0410-서초역점,서울특별시 서초구 서초동 1550-6 태림빌딩 1550-6 태림빌딩 지하1층,static/홍콩반점0410-서초역점.jpg,중식
북성,서울특별시 강남구 역삼동 638-17 1층 103호,static/북성.jpg,중식
홍콩가,서울특별시 서초구 반포동 738-41 738-41 1층,static/홍콩가.jpg,중식
뽕사부-역삼점,서울특별시 강남구 역삼동 668-18 668-18,static/뽕사부-역삼점.jpg,중식
크리스탈제이드-잠원점,서울특별시 서초구 잠원동 66-2 파스텔프라자 66-2 파스텔프라자 1층,static/크리스탈제이드-잠원점.jpg,중식
스시마이우-가로수길점,서울특별시 강남구 신사동 515-6 515-6 1층 101호,static/스시마이우-가로수길점.jpg,일식
모미모미-역삼점,서울특별시 강남구 역삼동 738-17 738-17,static/모미모미-역삼점.jpg,일식
카츠젠-선릉점,서울특별시 강남구 대치동 897-6 897-6 1층,static/카츠젠-선릉점.jpg,일식
